director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,bow
Todd Strauss-Schulson,Rebel Wilson,Liam Hemsworth,Adam DeVine,Comedy Fantasy Romance,isn't it romantic,Rebel Wilson Liam Hemsworth Adam DeVine Todd Strauss-Schulson Comedy Fantasy Romance
Christopher Landon,Jessica Rothe,Israel Broussard,Phi Vu,Comedy Horror Science Fiction,happy death day 2u,Jessica Rothe Israel Broussard Phi Vu Christopher Landon Comedy Horror Science Fiction
Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Action Science Fiction Adventure,alita: battle angel,Rosa Salazar Christoph Waltz Jennifer Connelly Robert Rodriguez Action Science Fiction Adventure
Dean DeBlois,Jay Baruchel,America Ferrera,Cate Blanchett,Animation Family Adventure,how to train your dragon: the hidden world,Jay Baruchel America Ferrera Cate Blanchett Dean DeBlois Animation Family Adventure
Stephen Merchant,Florence Pugh,Lena Headey,Nick Frost,Comedy,fighting with my family,Florence Pugh Lena Headey Nick Frost Stephen Merchant Comedy
Tyler Perry,Tyler Perry,Courtney Burrell,Patrice Lovely,Comedy,tyler perry's a madea family funeral,Tyler Perry Courtney Burrell Patrice Lovely Tyler Perry Comedy
Neil Jordan,Isabelle Huppert,Chloë Grace Moretz,Maika Monroe,Drama Mystery Thriller Horror,greta,Isabelle Huppert Chloë Grace Moretz Maika Monroe Neil Jordan Drama Mystery Thriller Horror
J. C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam,Action Thriller Crime Adventure,triple frontier,Ben Affleck Oscar Isaac Charlie Hunnam J. C. Chandor Action Thriller Crime Adventure
,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Action Adventure Science Fiction,captain marvel,Brie Larson Samuel L. Jackson Ben Mendelsohn  Action Adventure Science Fiction
Vincent D'Onofrio,Ethan Hawke,Dane DeHaan,Jake Schur,Comedy Drama,the kid,Ethan Hawke Dane DeHaan Jake Schur Vincent D'Onofrio Comedy Drama
,Brianna Denski,Ken Hudson Campbell,Matthew Broderick,Comedy Animation Adventure Family Fantasy,wonder park,Brianna Denski Ken Hudson Campbell Matthew Broderick  Comedy Animation Adventure Family Fantasy
Rupert Wyatt,John Goodman,Ashton Sanders,Jonathan Majors,Science Fiction,captive state,John Goodman Ashton Sanders Jonathan Majors Rupert Wyatt Science Fiction
Katt Shea,Sophia Lillis,Zoe Renee,Mackenzie Graham,Crime Family Comedy Drama Mystery,nancy drew and the hidden staircase,Sophia Lillis Zoe Renee Mackenzie Graham Katt Shea Crime Family Comedy Drama Mystery
James Kent,Alexander Skarsgård,Keira Knightley,Jason Clarke,Drama Romance War,the aftermath,Alexander Skarsgård Keira Knightley Jason Clarke James Kent Drama Romance War
Justin Baldoni,Cole Sprouse,Haley Lu Richardson,,Romance Drama,five feet apart,Cole Sprouse Haley Lu Richardson  Justin Baldoni Romance Drama
John Lee Hancock,Kevin Costner,Woody Harrelson,Kathy Bates,Crime Drama Thriller,the highwaymen,Kevin Costner Woody Harrelson Kathy Bates John Lee Hancock Crime Drama Thriller
Robert Rodriguez,Roby Attal,Lauren Hatfield,Alejandro Rose Garcia,Thriller Science Fiction,red 11,Roby Attal Lauren Hatfield Alejandro Rose Garcia Robert Rodriguez Thriller Science Fiction
Ivan Kavanagh,Emile Hirsch,Tim Ahern,Déborah François,Western,never grow old,Emile Hirsch Tim Ahern Déborah François Ivan Kavanagh Western
Jesse V. Johnson,Tony Jaa,Iko Uwais,Tiger Chen,Thriller Action,triple threat,Tony Jaa Iko Uwais Tiger Chen Jesse V. Johnson Thriller Action
Jordan Peele,Lupita Nyong'o,Winston Duke,Shahadi Wright Joseph,Thriller Horror Mystery,us,Lupita Nyong'o Winston Duke Shahadi Wright Joseph Jordan Peele Thriller Horror Mystery
Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi,History Drama Action Thriller,hotel mumbai,Dev Patel Armie Hammer Nazanin Boniadi Anthony Maras History Drama Action Thriller
Jeff Tremaine,Douglas Booth,Iwan Rheon,Machine Gun Kelly,Drama Music History,the dirt,Douglas Booth Iwan Rheon Machine Gun Kelly Jeff Tremaine Drama Music History
S. Craig Zahler,Mel Gibson,Vince Vaughn,Michael Jai White,Crime Action Thriller,dragged across concrete,Mel Gibson Vince Vaughn Michael Jai White S. Craig Zahler Crime Action Thriller
Tim Burton,Colin Farrell,Michael Keaton,Danny DeVito,Animation Family,dumbo,Colin Farrell Michael Keaton Danny DeVito Tim Burton Animation Family
Harmony Korine,Matthew McConaughey,Zac Efron,Jonah Hill,Comedy,the beach bum,Matthew McConaughey Zac Efron Jonah Hill Harmony Korine Comedy
"Chuck Konzelman, Cary Soloman",Ashley Bratcher,Brooks Ryan,Robia Scott,Drama,unplanned,"Ashley Bratcher Brooks Ryan Robia Scott Chuck Konzelman, Cary Soloman Drama"
David F. Sandberg,Zachary Levi,Asher Angel,Mark Strong,Action Comedy Fantasy,shazam!,Zachary Levi Asher Angel Mark Strong David F. Sandberg Action Comedy Fantasy
"Kevin Kolsch, Dennis Widmyer",Jason Clarke,Amy Seimetz,John Lithgow,Horror,pet sematary,"Jason Clarke Amy Seimetz John Lithgow Kevin Kolsch, Dennis Widmyer Horror"
Robin Bissell,Taraji P. Henson,Sam Rockwell,,Drama History,the best of enemies,Taraji P. Henson Sam Rockwell  Robin Bissell Drama History
Claire Denis,Robert Pattinson,Juliette Binoche,André Benjamin,Science Fiction Drama Mystery Thriller,high life,Robert Pattinson Juliette Binoche André Benjamin Claire Denis Science Fiction Drama Mystery Thriller
Brie Larson,Brie Larson,Samuel L. Jackson,Joan Cusack,Fantasy Drama Comedy,unicorn store,Brie Larson Samuel L. Jackson Joan Cusack Brie Larson Fantasy Drama Comedy
Daniel Farrands,Hilary Duff,Jonathan Bennett,Lydia Hearst,Horror Thriller,the haunting of sharon tate,Hilary Duff Jonathan Bennett Lydia Hearst Daniel Farrands Horror Thriller
Emma Tammi,Caitlin Gerard,Ashley Zukerman,Julia Goldani Telles,Drama War Romance,the wind,Caitlin Gerard Ashley Zukerman Julia Goldani Telles Emma Tammi Drama War Romance
John R. Leonetti,Kiernan Shipka,Stanley Tucci,Miranda Otto,Drama Thriller Fantasy Horror,the silence,Kiernan Shipka Stanley Tucci Miranda Otto John R. Leonetti Drama Thriller Fantasy Horror
Neil Marshall,David Harbour,Milla Jovovich,Ian McShane,Fantasy Action Adventure Science Fiction,hellboy,David Harbour Milla Jovovich Ian McShane Neil Marshall Fantasy Action Adventure Science Fiction
Tina Gordon,Issa Rae,Regina Hall,Marsai Martin,Thriller Crime,little,Issa Rae Regina Hall Marsai Martin Tina Gordon Thriller Crime
Chris Butler,Hugh Jackman,Zach Galifianakis,Zoe Saldana,Animation Comedy Adventure Fantasy Family,missing link,Hugh Jackman Zach Galifianakis Zoe Saldana Chris Butler Animation Comedy Adventure Fantasy Family
Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,Selma Blair,Romance Drama Comedy,after,Josephine Langford Hero Fiennes Tiffin Selma Blair Jenny Gage Romance Drama Comedy
Alex Ross Perry,Elisabeth Moss,Cara Delevingne,Dan Stevens,Drama Music,her smell,Elisabeth Moss Cara Delevingne Dan Stevens Alex Ross Perry Drama Music
Roxann Dawson,Chrissy Metz,Josh Lucas,Topher Grace,Drama,breakthrough,Chrissy Metz Josh Lucas Topher Grace Roxann Dawson Drama
Alastair Fothergill,Alastair Fothergill (director),Jeff Wilson (co-director); Ed Helms,,Family Animation Adventure Comedy,penguins,Alastair Fothergill (director) Jeff Wilson (co-director); Ed Helms  Alastair Fothergill Family Animation Adventure Comedy
Michael Chaves,Linda Cardellini,Raymond Cruz,Patricia Velasquez,Horror Thriller Mystery,the curse of la llorona,Linda Cardellini Raymond Cruz Patricia Velasquez Michael Chaves Horror Thriller Mystery
David Robert Mitchell,Andrew Garfield,Riley Keough,Topher Grace,Crime Drama Mystery,under the silver lake,Andrew Garfield Riley Keough Topher Grace David Robert Mitchell Crime Drama Mystery
Laura Steinel,Taylor Schilling,Brian Tyree Henry,Bryn Vale,Animation Action,family,Taylor Schilling Brian Tyree Henry Bryn Vale Laura Steinel Animation Action
Julia Hart,Gugu Mbatha-Raw,Lorraine Toussaint,Saniyya Sidney,Thriller Drama Science Fiction,fast color,Gugu Mbatha-Raw Lorraine Toussaint Saniyya Sidney Julia Hart Thriller Drama Science Fiction
Jennifer Kaytin Robinson,Gina Rodriguez,Brittany Snow,DeWanda Wise,Comedy Romance,someone great,Gina Rodriguez Brittany Snow DeWanda Wise Jennifer Kaytin Robinson Comedy Romance
Meir Zarchi,Camille Keaton,Maria Olsen,Meir Zarchi,Horror Thriller,i spit on your grave: deja vu,Camille Keaton Maria Olsen Meir Zarchi Meir Zarchi Horror Thriller
Anthony and Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Adventure Science Fiction Action,avengers: endgame,Robert Downey Jr. Chris Evans Mark Ruffalo Anthony and Joe Russo Adventure Science Fiction Action
Josh Lobo,A. J. Bowen,Scott Poythress,Susan Burke,Horror,i trapped the devil,A. J. Bowen Scott Poythress Susan Burke Josh Lobo Horror
Roxanne Benjamin,Karina Fontes,Casey Adams,Emily Althaus,Thriller,body at brighton rock,Karina Fontes Casey Adams Emily Althaus Roxanne Benjamin Thriller
Tanya Wexler,Zoey Deutch,Jermaine Fowler,Judy Greer,Comedy Drama Romance,buffaloed,Zoey Deutch Jermaine Fowler Judy Greer Tanya Wexler Comedy Drama Romance
Jonathan Levine,Seth Rogen,Charlize Theron,O'Shea Jackson Jr.,Comedy Romance,long shot,Seth Rogen Charlize Theron O'Shea Jackson Jr. Jonathan Levine Comedy Romance
Deon Taylor,Dennis Quaid,Michael Ealy,Meagan Good,Thriller,the intruder,Dennis Quaid Michael Ealy Meagan Good Deon Taylor Thriller
Kelly Asbury,Kelly Clarkson,Pitbull,Nick Jonas,Family Animation Comedy Adventure Fantasy Music,uglydolls,Kelly Clarkson Pitbull Nick Jonas Kelly Asbury Family Animation Comedy Adventure Fantasy Music
Joe Berlinger,Zac Efron,Lily Collins,Kaya Scodelario,Thriller Crime Drama,"extremely wicked, shockingly evil and vile",Zac Efron Lily Collins Kaya Scodelario Joe Berlinger Thriller Crime Drama
William Bindley,KJ Apa,Maia Mitchell,Jacob Latimore,Romance Comedy,the last summer,KJ Apa Maia Mitchell Jacob Latimore William Bindley Romance Comedy
Rob Letterman,Ryan Reynolds,Justice Smith,Kathryn Newton,Action Adventure Fantasy,pokémon detective pikachu,Ryan Reynolds Justice Smith Kathryn Newton Rob Letterman Action Adventure Fantasy
Chris Addison,Anne Hathaway,Rebel Wilson,Alex Sharp,Comedy,the hustle,Anne Hathaway Rebel Wilson Alex Sharp Chris Addison Comedy
Dome Karukoski,Nicholas Hoult,Lily Collins,Colm Meaney,War Drama History Romance,tolkien,Nicholas Hoult Lily Collins Colm Meaney Dome Karukoski War Drama History Romance
Zara Hayes,Diane Keaton,Jacki Weaver,Pam Grier,Comedy Drama,poms,Diane Keaton Jacki Weaver Pam Grier Zara Hayes Comedy Drama
,Mel Gibson,Sean Penn,Natalie Dormer,Drama History Mystery Thriller,the professor and the madman,Mel Gibson Sean Penn Natalie Dormer  Drama History Mystery Thriller
Chad Stahelski,Keanu Reeves,Halle Berry,Laurence Fishburne,Action Thriller Crime,john wick: chapter 3 – parabellum,Keanu Reeves Halle Berry Laurence Fishburne Chad Stahelski Action Thriller Crime
Gail Mancuso,Dennis Quaid,Josh Gad,Marg Helgenberger,Family Adventure Drama,a dog's journey,Dennis Quaid Josh Gad Marg Helgenberger Gail Mancuso Family Adventure Drama
Ry Russo-Young,Yara Shahidi,Charles Melton,John Leguizamo,Romance Drama,the sun is also a star,Yara Shahidi Charles Melton John Leguizamo Ry Russo-Young Romance Drama
Wayne Roberts,Johnny Depp,Rosemarie DeWitt,Danny Huston,Comedy Drama,the professor,Johnny Depp Rosemarie DeWitt Danny Huston Wayne Roberts Comedy Drama
Joanna Hogg,Honor Swinton Byrne,Tom Burke,Tilda Swinton,Romance Drama,the souvenir,Honor Swinton Byrne Tom Burke Tilda Swinton Joanna Hogg Romance Drama
,John Lithgow,Blythe Danner,Derek Cecil,Drama Romance,the tomorrow man,John Lithgow Blythe Danner Derek Cecil  Drama Romance
Guy Ritchie,Mena Massoud,Will Smith,Naomi Scott,Adventure Fantasy Romance Family,aladdin,Mena Massoud Will Smith Naomi Scott Guy Ritchie Adventure Fantasy Romance Family
David Yarovesky,Elizabeth Banks,David Denman,Jackson A. Dunn,Horror Thriller Science Fiction,brightburn,Elizabeth Banks David Denman Jackson A. Dunn David Yarovesky Horror Thriller Science Fiction
Olivia Wilde,Kaitlyn Dever,Beanie Feldstein,Jessica Williams,Comedy,booksmart,Kaitlyn Dever Beanie Feldstein Jessica Williams Olivia Wilde Comedy
Richard Shepard,Allison Williams,Logan Browning,Steven Weber,Horror Thriller Drama,the perfection,Allison Williams Logan Browning Steven Weber Richard Shepard Horror Thriller Drama
Nahnatchka Khan,Ali Wong,Randall Park,Daniel Dae Kim,Romance Comedy,always be my maybe,Ali Wong Randall Park Daniel Dae Kim Nahnatchka Khan Romance Comedy
Michael Dougherty,Kyle Chandler,Vera Farmiga,Millie Bobby Brown,Science Fiction Action,godzilla: king of the monsters,Kyle Chandler Vera Farmiga Millie Bobby Brown Michael Dougherty Science Fiction Action
Dexter Fletcher,Taron Egerton,Jamie Bell,Richard Madden,Music Drama History,rocketman,Taron Egerton Jamie Bell Richard Madden Dexter Fletcher Music Drama History
Tate Taylor,Octavia Spencer,Juliette Lewis,Diana Silvers,Horror Thriller,ma,Octavia Spencer Juliette Lewis Diana Silvers Tate Taylor Horror Thriller
Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence,Science Fiction Action Adventure,dark phoenix,James McAvoy Michael Fassbender Jennifer Lawrence Simon Kinberg Science Fiction Action Adventure
Chris Renaud,Patton Oswalt,Eric Stonestreet,Kevin Hart,Adventure Animation Comedy Family,the secret life of pets 2,Patton Oswalt Eric Stonestreet Kevin Hart Chris Renaud Adventure Animation Comedy Family
Nisha Ganatra,Emma Thompson,Mindy Kaling,Max Casella,Comedy Drama,late night,Emma Thompson Mindy Kaling Max Casella Nisha Ganatra Comedy Drama
Joe Talbot,Jimmie Fails,Jonathan Majors,Danny Glover,Drama,the last black man in san francisco,Jimmie Fails Jonathan Majors Danny Glover Joe Talbot Drama
Seth Green,Breckin Meyer,Macaulay Culkin,Brenda Song,Comedy Drama,changeland,Breckin Meyer Macaulay Culkin Brenda Song Seth Green Comedy Drama
F. Gary Gray,Chris Hemsworth,Tessa Thompson,Kumail Nanjiani,Comedy Science Fiction,men in black: international,Chris Hemsworth Tessa Thompson Kumail Nanjiani F. Gary Gray Comedy Science Fiction
Tim Story,Samuel L. Jackson,Jessie Usher,Richard Roundtree,Action Crime,shaft,Samuel L. Jackson Jessie Usher Richard Roundtree Tim Story Action Crime
Jim Jarmusch,Bill Murray,Adam Driver,Tilda Swinton,Comedy Horror Fantasy,the dead don't die,Bill Murray Adam Driver Tilda Swinton Jim Jarmusch Comedy Horror Fantasy
Kyle Newacheck,Adam Sandler,Jennifer Aniston,Luke Evans,Comedy,murder mystery,Adam Sandler Jennifer Aniston Luke Evans Kyle Newacheck Comedy
"Jeff Chan, Andrew Rhymer",Maya Erskine,Jack Quaid,Beck Bennett,Romance Comedy Drama,plus one,"Maya Erskine Jack Quaid Beck Bennett Jeff Chan, Andrew Rhymer Romance Comedy Drama"
Miranda Bailey,Jim Gaffigan,Logan Miller,Samantha Mathis,Comedy,being frank,Jim Gaffigan Logan Miller Samantha Mathis Miranda Bailey Comedy
Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Adventure Animation Comedy Family Fantasy Drama,toy story 4,Tom Hanks Tim Allen Annie Potts Josh Cooley Adventure Animation Comedy Family Fantasy Drama
Luc Besson,Sasha Luss,Helen Mirren,Luke Evans,Thriller Action,anna,Sasha Luss Helen Mirren Luke Evans Luc Besson Thriller Action
Lars Klevberg,Aubrey Plaza,Gabriel Bateman,Brian Tyree Henry,Horror,child's play,Aubrey Plaza Gabriel Bateman Brian Tyree Henry Lars Klevberg Horror
Gary Dauberman,Mckenna Grace,Madison Iseman,Katie Sarife,Horror Thriller Mystery,annabelle comes home,Mckenna Grace Madison Iseman Katie Sarife Gary Dauberman Horror Thriller Mystery
Danny Boyle,Himesh Patel,Lily James,Ed Sheeran,Music Comedy Romance Fantasy,yesterday,Himesh Patel Lily James Ed Sheeran Danny Boyle Music Comedy Romance Fantasy
Claire McCarthy,Daisy Ridley,Naomi Watts,Clive Owen,Romance History,ophelia,Daisy Ridley Naomi Watts Clive Owen Claire McCarthy Romance History
Martin Owen,Tommy Flanagan,Rhyon Nicole Brown,Jessica Alba,Action Thriller Crime Mystery,killers anonymous,Tommy Flanagan Rhyon Nicole Brown Jessica Alba Martin Owen Action Thriller Crime Mystery
Jon Watts,Tom Holland,Samuel L. Jackson,Zendaya,Action Adventure Science Fiction,spider-man: far from home,Tom Holland Samuel L. Jackson Zendaya Jon Watts Action Adventure Science Fiction
John Herzfeld,Sylvester Stallone,Curtis Jackson,Dave Bautista,Action Thriller Crime,escape plan: the extractors,Sylvester Stallone Curtis Jackson Dave Bautista John Herzfeld Action Thriller Crime
Ari Aster,Florence Pugh,Jack Reynor,William Jackson Harper,Horror Drama Mystery,midsommar,Florence Pugh Jack Reynor William Jackson Harper Ari Aster Horror Drama Mystery
Michael Dowse,Kumail Nanjiani,Dave Bautista,Iko Uwais,Action Comedy Thriller Crime,stuber,Kumail Nanjiani Dave Bautista Iko Uwais Michael Dowse Action Comedy Thriller Crime
Alexandre Aja,Kaya Scodelario,Barry Pepper,,Thriller Horror Drama,crawl,Kaya Scodelario Barry Pepper  Alexandre Aja Thriller Horror Drama
Joe Lynch,Frank Grillo,Anthony Mackie,Marcia Gay Harden,Action Thriller,point blank,Frank Grillo Anthony Mackie Marcia Gay Harden Joe Lynch Action Thriller
Lulu Wang,Awkwafina,Tzi Ma,Diana Lin,Comedy Drama,the farewell,Awkwafina Tzi Ma Diana Lin Lulu Wang Comedy Drama
Pollyanna Mcintosh,Pollyanna McIntosh,Cooper Andrews,Nora-Jane Noone,Horror Mystery,darlin',Pollyanna McIntosh Cooper Andrews Nora-Jane Noone Pollyanna Mcintosh Horror Mystery
Jon Favreau,Donald Glover,Seth Rogen,Chiwetel Ejiofor,Family Animation Drama,the lion king,Donald Glover Seth Rogen Chiwetel Ejiofor Jon Favreau Family Animation Drama
Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Comedy Drama Thriller,once upon a time in hollywood,Leonardo DiCaprio Brad Pitt Margot Robbie Quentin Tarantino Comedy Drama Thriller
Guy Nattiv,Jamie Bell,Danielle Macdonald,Daniel Henshall,Thriller Action Drama,skin,Jamie Bell Danielle Macdonald Daniel Henshall Guy Nattiv Thriller Action Drama
Gideon Raff,Chris Evans,Haley Bennett,Michael K. Williams,Drama Thriller History,the red sea diving resort,Chris Evans Haley Bennett Michael K. Williams Gideon Raff Drama Thriller History
David Leitch,Dwayne Johnson,Jason Statham,Idris Elba,Action Adventure Comedy,fast & furious presents: hobbs & shaw,Dwayne Johnson Jason Statham Idris Elba David Leitch Action Adventure Comedy
Shawn Ku,Nicolas Cage,Benjamin Bratt,,Action Thriller Drama,a score to settle,Nicolas Cage Benjamin Bratt  Shawn Ku Action Thriller Drama
Yuval Adler,Diane Kruger,Martin Freeman,Cas Anvar,Drama Thriller,the operative,Diane Kruger Martin Freeman Cas Anvar Yuval Adler Drama Thriller
James Bobin,Isabela Moner,Eugenio Derbez,Michael Peña,Adventure Comedy Family,dora and the lost city of gold,Isabela Moner Eugenio Derbez Michael Peña James Bobin Adventure Comedy Family
Andrea Berloff,Melissa McCarthy,Tiffany Haddish,Elisabeth Moss,Action Crime Drama,the kitchen,Melissa McCarthy Tiffany Haddish Elisabeth Moss Andrea Berloff Action Crime Drama
Simon Curtis,Milo Ventimiglia,Amanda Seyfried,Kathy Baker,Comedy Drama Romance,the art of racing in the rain,Milo Ventimiglia Amanda Seyfried Kathy Baker Simon Curtis Comedy Drama Romance
André Øvredal,Zoe Colletti,Michael Garza,Gabriel Rush,Horror Thriller,scary stories to tell in the dark,Zoe Colletti Michael Garza Gabriel Rush André Øvredal Horror Thriller
"Tyler Nilson, Michael Schwartz",Shia LaBeouf,Dakota Johnson,John Hawkes,Adventure Drama Comedy,the peanut butter falcon,"Shia LaBeouf Dakota Johnson John Hawkes Tyler Nilson, Michael Schwartz Adventure Drama Comedy"
Bart Freundlich,Michelle Williams,Julianne Moore,Billy Crudup,Drama,after the wedding,Michelle Williams Julianne Moore Billy Crudup Bart Freundlich Drama
Casey Affleck,Casey Affleck,Anna Pniowsky,Tom Bower,Drama Science Fiction,light of my life,Casey Affleck Anna Pniowsky Tom Bower Casey Affleck Drama Science Fiction
Thurop Van Orman,Jason Sudeikis,Josh Gad,Leslie Jones,Animation Comedy Adventure Family,the angry birds movie 2,Jason Sudeikis Josh Gad Leslie Jones Thurop Van Orman Animation Comedy Adventure Family
Gene Stupnitsky,Jacob Tremblay,Brady Noon,Keith L. Williams,Comedy,good boys,Jacob Tremblay Brady Noon Keith L. Williams Gene Stupnitsky Comedy
Gurinder Chadha,Viveik Kalra,Kulvinder Ghir,Meera Ganatra,Drama Comedy,blinded by the light,Viveik Kalra Kulvinder Ghir Meera Ganatra Gurinder Chadha Drama Comedy
Richard Linklater,Cate Blanchett,Billy Crudup,Emma Nelson,Drama Comedy Mystery,"where'd you go, bernadette",Cate Blanchett Billy Crudup Emma Nelson Richard Linklater Drama Comedy Mystery
Johannes Roberts,John Corbett,Nia Long,Sophie Nelisse,Horror,47 meters down: uncaged,John Corbett Nia Long Sophie Nelisse Johannes Roberts Horror
William McGregor,Maxine Peake,Eleanor Worthington Cox,Richard Harrington,Drama Mystery Horror History,gwen,Maxine Peake Eleanor Worthington Cox Richard Harrington William McGregor Drama Mystery Horror History
"Matt Bettinelli-Olpin, Tyler Gillett",Samara Weaving,Adam Brody,Mark O'Brien,Horror Thriller Comedy,ready or not,"Samara Weaving Adam Brody Mark O'Brien Matt Bettinelli-Olpin, Tyler Gillett Horror Thriller Comedy"
Ric Roman Waugh,Gerard Butler,Morgan Freeman,Jada Pinkett Smith,Action Thriller,angel has fallen,Gerard Butler Morgan Freeman Jada Pinkett Smith Ric Roman Waugh Action Thriller
Paul Downs Colaizzo,Jillian Bell,Michaela Watkins,Utkarsh Ambudkar,Comedy Drama,brittany runs a marathon,Jillian Bell Michaela Watkins Utkarsh Ambudkar Paul Downs Colaizzo Comedy Drama
Alex Kendrick,Alex Kendrick,Priscilla Shirer,Ben Davies,Drama,overcomer,Alex Kendrick Priscilla Shirer Ben Davies Alex Kendrick Drama
David M. Rosenthal,Michael Ealy,Jesse Williams,Nicole Beharie,Drama Mystery Horror,jacob's ladder,Michael Ealy Jesse Williams Nicole Beharie David M. Rosenthal Drama Mystery Horror
Mike Gan,Tilda Cobham-Hervey,Suki Waterhouse,Harry Shum Jr.,Thriller,burn,Tilda Cobham-Hervey Suki Waterhouse Harry Shum Jr. Mike Gan Thriller
Gavin Hood,Keira Knightley,Matt Smith,Matthew Goode,Drama Thriller History,official secrets,Keira Knightley Matt Smith Matthew Goode Gavin Hood Drama Thriller History
Jacob Aaron Estes,Jacob Aaron Estes,Drew Daywalt (story); David Oyelowo,Storm Reid,Science Fiction Thriller Mystery Crime,don't let go,Jacob Aaron Estes Drew Daywalt (story); David Oyelowo Storm Reid Jacob Aaron Estes Science Fiction Thriller Mystery Crime
Micah Gallo,Bruce Davison,Denise Crosby,Elizabeth Roberts,Horror Thriller,itsy bitsy,Bruce Davison Denise Crosby Elizabeth Roberts Micah Gallo Horror Thriller
Fred Durst,John Travolta,Devon Sawa,Ana Golja,Thriller Crime Mystery,the fanatic,John Travolta Devon Sawa Ana Golja Fred Durst Thriller Crime Mystery
Andy Muschietti,James McAvoy,Jessica Chastain,Bill Hader,Horror Fantasy,it chapter two,James McAvoy Jessica Chastain Bill Hader Andy Muschietti Horror Fantasy
Chelsea Stardust,Hayley Griffith,Ruby Modine,Arden Myrin,Horror Comedy,satanic panic,Hayley Griffith Ruby Modine Arden Myrin Chelsea Stardust Horror Comedy
Ali LeRoi,Steven Silver,Nicola Peltz,,Drama Thriller,the obituary of tunde johnson,Steven Silver Nicola Peltz  Ali LeRoi Drama Thriller
John Crowley,Ansel Elgort,Oakes Fegley,Aneurin Barnard,Drama,the goldfinch,Ansel Elgort Oakes Fegley Aneurin Barnard John Crowley Drama
Lorene Scafaria,Constance Wu,Jennifer Lopez,Julia Stiles,Drama Comedy Crime,hustlers,Constance Wu Jennifer Lopez Julia Stiles Lorene Scafaria Drama Comedy Crime
Michael Tyburski,Rashida Jones,Peter Sarsgaard,Tony Revolori,Drama,the sound of silence,Rashida Jones Peter Sarsgaard Tony Revolori Michael Tyburski Drama
Alejandro Landes,Julianne Nicholson,Moisés Arias,,Drama Thriller Adventure,monos,Julianne Nicholson Moisés Arias  Alejandro Landes Drama Thriller Adventure
Nzingha Stewart,Ava Michelle,Griffin Gluck,Luke Eisner,Comedy Drama Romance,tall girl,Ava Michelle Griffin Gluck Luke Eisner Nzingha Stewart Comedy Drama Romance
Lars Klevberg,Kathryn Prescott,Grace Zabriskie,Samantha Logan,Horror Thriller Mystery,polaroid,Kathryn Prescott Grace Zabriskie Samantha Logan Lars Klevberg Horror Thriller Mystery
James Gray,Brad Pitt,Tommy Lee Jones,Ruth Negga,Science Fiction Drama,ad astra,Brad Pitt Tommy Lee Jones Ruth Negga James Gray Science Fiction Drama
Michael Engler,Hugh Bonneville,Jim Carter,Michelle Dockery,Drama Romance History,downton abbey,Hugh Bonneville Jim Carter Michelle Dockery Michael Engler Drama Romance History
Adrian Grunberg,Sylvester Stallone,Adriana Barraza,Paz Vega,Action Thriller Drama,rambo: last blood,Sylvester Stallone Adriana Barraza Paz Vega Adrian Grunberg Action Thriller Drama
Henry Jacobson,Seann William Scott,Mariela Garriga,Dale Dickey,Horror Thriller Science Fiction,bloodline,Seann William Scott Mariela Garriga Dale Dickey Henry Jacobson Horror Thriller Science Fiction
Jason Cabell,Nicolas Cage,Laurence Fishburne,,Action,running with the devil,Nicolas Cage Laurence Fishburne  Jason Cabell Action
Brad Anderson,Sam Worthington,Lily Rabe,Stephen Tobolowsky,Thriller,fractured,Sam Worthington Lily Rabe Stephen Tobolowsky Brad Anderson Thriller
Jill Culton,Todd Wilderman (co-director); Chloe Bennet,Albert Tsai,Tenzing Norgay Trainor,Family Animation Adventure Comedy,abominable,Todd Wilderman (co-director); Chloe Bennet Albert Tsai Tenzing Norgay Trainor Jill Culton Family Animation Adventure Comedy
Steven Soderbergh,Meryl Streep,Gary Oldman,Antonio Banderas,Drama Crime Comedy,the laundromat,Meryl Streep Gary Oldman Antonio Banderas Steven Soderbergh Drama Crime Comedy
Rupert Goold,Renée Zellweger,Jessie Buckley,Finn Wittrock,Drama History Music,judy,Renée Zellweger Jessie Buckley Finn Wittrock Rupert Goold Drama History Music
Franck Khalfoun,Logan Miller,Kristine Froseth,,Action Crime,prey,Logan Miller Kristine Froseth  Franck Khalfoun Action Crime
Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Crime Thriller Drama,joker,Joaquin Phoenix Robert De Niro Zazie Beetz Todd Phillips Crime Thriller Drama
Noah Hawley,Natalie Portman,Jon Hamm,Zazie Beetz,Drama Science Fiction Thriller,lucy in the sky,Natalie Portman Jon Hamm Zazie Beetz Noah Hawley Drama Science Fiction Thriller
