director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,bow
Jay Roach,Charlize Theron,Nicole Kidman,Margot Robbie,Drama History,bombshell,charlize theron nicole kidman margot robbie jay roach drama history
,Adam Sandler,Lakeith Stanfield,Julia Fox,Crime Thriller Drama,uncut gems,adam sandler lakeith stanfield julia fox  crime thriller drama
Benedict Andrews,Kristen Stewart,Jack O'Connell,Margaret Qualley,Thriller Drama,seberg,kristen stewart jack o'connell margaret qualley benedict andrews thriller drama
Terrence Malick,August Diehl,Valerie Pachner,Matthias Schoenaerts,Drama War History,a hidden life,august diehl valerie pachner matthias schoenaerts terrence malick drama war history
J. J. Abrams,Carrie Fisher,Mark Hamill,Adam Driver,Action Adventure Science Fiction,star wars: the rise of skywalker,carrie fisher mark hamill adam driver j. j. abrams action adventure science fiction
Tom Hooper,James Corden,Judi Dench,Jason Derulo,Fantasy Comedy Drama,cats,james corden judi dench jason derulo tom hooper fantasy comedy drama
Ericson Core,Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Adventure Family,togo,willem dafoe julianne nicholson christopher heyerdahl ericson core adventure family
"Nick Bruno, Troy Quane",Will Smith,Tom Holland,Rashida Jones,Animation Action Adventure Comedy Family,spies in disguise,"will smith tom holland rashida jones nick bruno, troy quane animation action adventure comedy family"
Sam Mendes,George MacKay,Dean-Charles Chapman,Mark Strong,War Drama Action Thriller,1917,george mackay dean-charles chapman mark strong sam mendes war drama action thriller
Destin Daniel Cretton,Michael B. Jordan,Jamie Foxx,Brie Larson,Drama Crime History,just mercy,michael b. jordan jamie foxx brie larson destin daniel cretton drama crime history
Chinonye Chukwu,Alfre Woodard,Wendell Pierce,Aldis Hodge,Drama,clemency,alfre woodard wendell pierce aldis hodge chinonye chukwu drama
William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Action Horror Science Fiction Thriller,underwater,kristen stewart vincent cassel jessica henwick william eubank action horror science fiction thriller
Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,Comedy,like a boss,tiffany haddish rose byrne salma hayek miguel arteta comedy
Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,Drama,three christs,richard gere peter dinklage walton goggins jon avnet drama
Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,Drama Thriller Crime,inherit the viper,josh hartnett margarita levieva chandler riggs anthony jerjen drama thriller crime
Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,Horror Thriller Mystery,the sonata,freya tingley simon abkarian rutger hauer andrew desmond horror thriller mystery
Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,Thriller Drama Crime,the murder of nicole brown simpson,mena suvari nick stahl taryn manning daniel farrands thriller drama crime
Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Thriller Action Crime,bad boys for life,will smith martin lawrence vanessa hudgens adil el arbi and bilall fallah thriller action crime
Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,Family Fantasy Adventure,dolittle,robert downey jr. antonio banderas michael sheen stephen gaghan family fantasy adventure
Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,Drama Fantasy Thriller,a fall from grace,crystal r. fox phylicia rashad bresha webb tyler perry drama fantasy thriller
Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Action Crime Comedy,the gentlemen,matthew mcconaughey charlie hunnam henry golding guy ritchie action crime comedy
Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Horror Thriller,the turning,mackenzie davis finn wolfhard brooklynn prince floria sigismondi horror thriller
Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,War Drama,the last full measure,sebastian stan christopher plummer william hurt todd robinson war drama
David Bruckner,Rebecca Hall,Sarah Goldberg,Stacy Martin,Horror Thriller,the night house,rebecca hall sarah goldberg stacy martin david bruckner horror thriller
Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,Drama Thriller,john henry,terry crews ludacris jamila velazquez will forbes drama thriller
Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Action Thriller,the rhythm section,blake lively jude law sterling k. brown reed morano action thriller
Oz Perkins,Sophia Lillis,Sammy Leakey,Charles Babalola,Horror Fantasy Thriller,gretel & hansel,sophia lillis sammy leakey charles babalola oz perkins horror fantasy thriller
Kitty Green,Julia Garner,Matthew Macfadyen,,Drama,the assistant,julia garner matthew macfadyen  kitty green drama
Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Action Crime,birds of prey,margot robbie mary elizabeth winstead jurnee smollett-bell cathy yan action crime
,Riley Keough,Jaeden Martell,Lia McHugh,Drama Horror Thriller,the lodge,riley keough jaeden martell lia mchugh  drama horror thriller
Tom McCarthy,Winslow Fegley,Ophelia Lovibond,Craig Robinson,Family Mystery Comedy Fantasy,timmy failure: mistakes were made,winslow fegley ophelia lovibond craig robinson tom mccarthy family mystery comedy fantasy
Jeff Baena,Alison Brie,Debby Ryan,John Paul Reynolds,Drama,horse girl,alison brie debby ryan john paul reynolds jeff baena drama
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy,to all the boys: p.s. i still love you,lana condor noah centineo jordan fisher michael fimognari romance comedy
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Science Fiction Comedy Family,sonic the hedgehog,james marsden ben schwartz tika sumpter jeff fowler action science fiction comedy family
Jeff Wadlow,Michael Peña,Maggie Q,Lucy Hale,Horror Fantasy Adventure Mystery,fantasy island,michael peña maggie q lucy hale jeff wadlow horror fantasy adventure mystery
Stella Meghie,Issa Rae,Lakeith Stanfield,Chelsea Peretti,Drama Romance,the photograph,issa rae lakeith stanfield chelsea peretti stella meghie drama romance
"Nat Faxon, Jim Rash",Julia Louis-Dreyfus,Will Ferrell,Miranda Otto,Drama Comedy,downhill,"julia louis-dreyfus will ferrell miranda otto nat faxon, jim rash drama comedy"
Drew Mylrea,Drew Van Acker,Poppy Delevingne,Natasha Bassett,Action Adventure Comedy,spy intervention,drew van acker poppy delevingne natasha bassett drew mylrea action adventure comedy
Lone Scherfig,Andrea Riseborough,Tahar Rahim,Zoe Kazan,Drama,the kindness of strangers,andrea riseborough tahar rahim zoe kazan lone scherfig drama
Chris Sanders,Harrison Ford,Dan Stevens,Omar Sy,Drama Adventure Family,the call of the wild,harrison ford dan stevens omar sy chris sanders drama adventure family
,Anne Hathaway,Ben Affleck,Rosie Perez,Drama Thriller,the last thing he wanted,anne hathaway ben affleck rosie perez  drama thriller
William Brent Bell,Katie Holmes,Owain Yeoman,Christopher Convery,Horror Mystery Thriller,brahms: the boy ii,katie holmes owain yeoman christopher convery william brent bell horror mystery thriller
Michael Cristofer,Tye Sheridan,Ana de Armas,Helen Hunt,Thriller Crime Drama,the night clerk,tye sheridan ana de armas helen hunt michael cristofer thriller crime drama
Chris Henchy,Brian Quinn,Joe Gatto,Sal Vulcano,Comedy,impractical jokers: the movie,brian quinn joe gatto sal vulcano chris henchy comedy
Leigh Whannell,Elisabeth Moss,Aldis Hodge,Storm Reid,Thriller Science Fiction Horror,the invisible man,elisabeth moss aldis hodge storm reid leigh whannell thriller science fiction horror
Brett Haley,Elle Fanning,Justice Smith,Alexandra Shipp,Drama Romance,all the bright places,elle fanning justice smith alexandra shipp brett haley drama romance
Benh Zeitlin,Tommie Lynn Milazzo,Shay Walker,,Fantasy Adventure Family,wendy,tommie lynn milazzo shay walker  benh zeitlin fantasy adventure family
Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Comedy Action,guns akimbo,daniel radcliffe samara weaving natasha liu bordizzo jason lei howden comedy action
Dan Scanlon,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,Animation Family Adventure Comedy Fantasy,onward,tom holland chris pratt julia louis-dreyfus dan scanlon animation family adventure comedy fantasy
Gavin O'Connor,Ben Affleck,Al Madrigal,Michaela Watkins,Drama,the way back,ben affleck al madrigal michaela watkins gavin o'connor drama
Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,Comedy Action Thriller,spenser confidential,mark wahlberg winston duke alan arkin peter berg comedy action thriller
George Nolfi,Anthony Mackie,Nicholas Hoult,Nia Long,Drama,the banker,anthony mackie nicholas hoult nia long george nolfi drama
Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,Thriller Drama Mystery,the burnt orange heresy,claes bang elizabeth debicki mick jagger giuseppe capotondi thriller drama mystery
Carlo Mirabella-Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,Drama Thriller Horror,swallow,haley bennett austin stowell elizabeth marvel carlo mirabella-davis drama thriller horror
Kelly Reichardt,John Magaro,Orion Hall,René Auberjonois,Drama Western History,first cow,john magaro orion hall rené auberjonois kelly reichardt drama western history
Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,Action Science Fiction,bloodshot,vin diesel eiza gonzález sam heughan dave s. f. wilson action science fiction
Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,Music Drama Romance,i still believe,kj apa britt robertson shania twain erwin brothers music drama romance
Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,Drama Mystery Thriller History,lost girls,amy ryan thomasin mckenzie lola kirke liz garbus drama mystery thriller history
Julia Hart,Grace VanderWaal,Graham Verchere,Giancarlo Esposito,Comedy Drama Romance,stargirl,grace vanderwaal graham verchere giancarlo esposito julia hart comedy drama romance
Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,Drama,the roads not taken,javier bardem elle fanning laura linney sally potter drama
Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,Drama,never rarely sometimes always,sidney flanigan talia ryder theodore pellerin eliza hittman drama
Jason Orley,Pete Davidson,Griffin Gluck,Jon Cryer,Comedy,big time adolescence,pete davidson griffin gluck jon cryer jason orley comedy
Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Drama,lost transmissions,simon pegg juno temple alexandra daddario katharine o'brien drama
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,War History Drama,resistance,jesse eisenberg ed harris clémence poésy jonathan jakubowicz war history drama
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Drama Comedy,uncorked,mamoudou athie courtney b. vance niecy nash prentice penny drama comedy
Lorcan Finnegan,Lorcan Finnegan (director); Imogen Poots,Jesse Eisenberg,,Science Fiction Horror Mystery,vivarium,lorcan finnegan (director); imogen poots jesse eisenberg  lorcan finnegan science fiction horror mystery
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Comedy Action Crime,coffee & kareem,ed helms taraji p. henson betty gilpin michael dowse comedy action crime
Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,Animation Family Comedy Fantasy Adventure Music,trolls world tour,anna kendrick justin timberlake rachel bloom walt dohrn animation family comedy fantasy adventure music
Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,Comedy Romance,love wedding repeat,olivia munn sam claflin freida pinto dean craig comedy romance
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Family Comedy,the main event,seth carr tichina arnold ken marino jay karas family comedy
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Horror Thriller,we summon the darkness,alexandra daddario keean johnson logan miller marc meyers horror thriller
Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,Romance Drama,the lost husband,leslie bibb josh duhamel nora dunn vicky wight romance drama
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Horror Comedy,corona zombies,cody renee cameron russell coker robin sydney charles band horror comedy
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Drama,sergio,wagner moura ana de armas garret dillahunt greg barker drama
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,Animation Comedy Family,the willoughbys,will forte maya rudolph alessia cara kris pearn animation comedy family
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Drama Action Thriller,extraction,chris hemsworth rudhraksh jaiswal randeep hooda sam hargrave drama action thriller
Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,Drama Comedy,braking for whales,tom felton tammin sursok wendi mclendon-covey sean mcewen drama comedy
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Drama Crime History TV Movie,bad education,hugh jackman allison janney geraldine viswanathan cory finley drama crime history tv movie
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,dangerous lies,camila mendes jessie t. usher jamie chung michael scott thriller
Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Drama,all day and a night,ashton sanders jeffrey wright yahya abdul-mateen ii joe robert cole drama
The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,Horror,the wretched,john-paul howard piper curda zarah mahler the pierce brothers horror
Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Comedy Romance,the half of it,leah lewis daniel diemer alexxis lemire alice wu comedy romance
Clark Duke,Liam Hemsworth,Clark Duke,Michael Kenneth Williams,Crime,arkansas,liam hemsworth clark duke michael kenneth williams clark duke crime
Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,Comedy Romance,valley girl,jessica rothe josh whitehouse mae whitman rachel lee goldenberg comedy romance
Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,Crime Drama,capone,tom hardy linda cardellini jack lowden josh trank crime drama
Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,Comedy Romance,the wrong missy,david spade lauren lapkus geoff pierson tyler spindel comedy romance
Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,Animation Family Comedy Adventure,scoob!,will forte mark wahlberg jason isaacs tony cervone animation family comedy adventure
John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,,blood and money,tom berenger kristen hager mark sivertsen john barr 
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Horror Thriller Mystery,body cam,mary j. blige nat wolff david zayas malik vitthal horror thriller mystery
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Action Comedy Romance,the lovebirds,issa rae kumail nanjiani paul sparks michael showalter action comedy romance
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Thriller,inheritance,lily collins simon pegg chace crawford vaughn stein thriller
Matt Eskandari,Bruce Willis,Chad Michael Murray,,Action Thriller,survive the night,bruce willis chad michael murray  matt eskandari action thriller
Nicholas Ashe Bateman,Josh Clark,,,Drama Fantasy Romance,the wanting mare,josh clark   nicholas ashe bateman drama fantasy romance
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Romance Comedy Music Drama,the high note,dakota johnson tracee ellis ross kelvin harrison jr. nisha ganatra romance comedy music drama
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,Drama Thriller Mystery,shirley,elisabeth moss michael stuhlbarg odessa young josephine decker drama thriller mystery
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Action Crime Thriller,the last days of american crime,édgar ramírez anna brewster michael pitt olivier megaton action crime thriller
"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,Horror Crime Thriller,becky,"lulu wilson kevin james joel mchale jonathan milott, cary murnion horror crime thriller"
Gil Junger,Josh Duhamel,Megan Fox,,Family Comedy Drama,think like a dog,josh duhamel megan fox  gil junger family comedy drama
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure Fantasy Science Fiction Family Action,artemis fowl,ferdia shaw lara mcdonnell josh gad kenneth branagh adventure fantasy science fiction family action
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,War Drama,da 5 bloods,delroy lindo jonathan majors clarke peters spike lee war drama
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Comedy Drama,the king of staten island,pete davidson marisa tomei bill burr judd apatow comedy drama
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end,chad michael collins tom berenger sayaka akimoto kaare andrews action
David Koepp,Kevin Bacon,Amanda Seyfried,,Horror Mystery Drama Thriller,you should have left,kevin bacon amanda seyfried  david koepp horror mystery drama thriller
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Drama History Thriller,wasp network,penélope cruz édgar ramírez gael garcía bernal olivier assayas drama history thriller
Elissa Down,Elissa Down (director); Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,Comedy Music Drama,feel the beat,elissa down (director); sofia carson enrico colantoni wolfgang novogratz elissa down comedy music drama
Patrick Vollrath,Joseph Gordon-Levitt,,,Action Drama Thriller,7500,joseph gordon-levitt   patrick vollrath action drama thriller
"Bonni Cohen, Jon Shenk",Bonni Cohen,Jon Shenk (director),,Documentary,athlete a,"bonni cohen jon shenk (director)  bonni cohen, jon shenk documentary"
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Comedy Music,eurovision song contest: the story of fire saga,will ferrell rachel mcadams dan stevens david dobkin comedy music
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Comedy Drama,irresistible,steve carell chris cooper mackenzie davis jon stewart comedy drama
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family Action Comedy,my spy,dave bautista chloe coleman kristen schaal peter segal family action comedy
Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,History Music Drama,hamilton,thomas kail (director); lin-manuel miranda phillipa soo leslie odom jr. thomas kail history music drama
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,Horror Drama Mystery Thriller,relic,emily mortimer robyn nevin bella heathcote natalie erika james horror drama mystery thriller
LP,Anna Camp,Robbie Amell,Nasim Pedrad,Comedy Romance,desperados,anna camp robbie amell nasim pedrad lp comedy romance
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action Fantasy,the old guard,charlize theron kiki layne marwan kenzari gina prince-bythewood action fantasy
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War Action Drama,greyhound,tom hanks stephen graham rob morgan aaron schneider war action drama
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Comedy Romance Fantasy Mystery Science Fiction,palm springs,andy samberg cristin milioti peter gallagher max barbakow comedy romance fantasy mystery science fiction
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,Thriller,fatal affair,nia long omar epps stephen bishop peter sullivan thriller
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Action Crime Thriller,the silencing,annabelle wallis hero fiennes-tiffin nikolaj coster-waldau robin pront action crime thriller
The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,Comedy Romance,a nice girl like you,lucy hale leonidas gulaptis jackie cruz the brothers riedell comedy romance
Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,Horror Thriller War Fantasy,ghosts of war,brenton thwaites theo rossi skylar astin eric bress horror thriller war fantasy
"Scott Christian Sava, Tony Bancroft",John Krasinski,Emily Blunt,Ian McKellen,Comedy Animation Adventure,animal crackers,"john krasinski emily blunt ian mckellen scott christian sava, tony bancroft comedy animation adventure"
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Comedy Romance,the kissing booth 2,joey king joel courtney jacob elordi vince marcello comedy romance
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,Horror Thriller Drama,the rental,dan stevens alison brie sheila vand dave franco horror thriller drama
John Pogue,Tania Raymonde,Nathaniel Buzolic,Emerson Brooks,Action Horror Science Fiction,deep blue sea 3,tania raymonde nathaniel buzolic emerson brooks john pogue action horror science fiction
"Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch",Beyoncé,,,Music,black is king,"beyoncé   beyoncé, emmanuel adjei, blitz bazawule, ibra ake, jenn nkiru, jake nava, pierre debusschere, dikayl rimmasch music"
Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,Drama Romance,the secret: dare to dream,katie holmes josh lucas jerry o'connell andy tennant drama romance
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Drama War Romance,summerland,gemma arterton gugu mbatha-raw penelope wilton jessica swale drama war romance
Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Drama,she dies tomorrow,kate lyn sheil jane adams kentucker audley amy seimetz drama
Brandon Trost,Seth Rogen,Sarah Snook,,Comedy,an american pickle,seth rogen sarah snook  brandon trost comedy
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Action Crime Drama,the tax collector,bobby soto shia labeouf cinthya carmona david ayer action crime drama
Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,Drama History,waiting for the barbarians,mark rylance johnny depp robert pattinson ciro guerra drama history
"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Action Crime Science Fiction,project power,"jamie foxx joseph gordon-levitt dominique fishback henry joost, ariel schulman action crime science fiction"
Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,Comedy Family Fantasy,magic camp,adam devine gillian jacobs jeffrey tambor mark waters comedy family fantasy
"Amanda McBaine, Jesse Moss",Amanda McBaine,Jesse Moss (directors),,Documentary,boys state,"amanda mcbaine jesse moss (directors)  amanda mcbaine, jesse moss documentary"
Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,Horror Comedy Crime Thriller,spree,joe keery sasheer zamata mischa barton eugene kotlyarenko horror comedy crime thriller
Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,Family Comedy Drama,the one and only ivan,sam rockwell angelina jolie danny devito thea sharrock family comedy drama
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Action Thriller,unhinged,russell crowe caren pistorius gabriel bateman derrick borte action thriller
Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,History Drama,tesla,ethan hawke eve hewson ebon moss-bachrach michael almereyda history drama
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Action Crime Drama Thriller,cut throat city,shameik moore t.i. demetrius shipp jr. rza action crime drama thriller
Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,Drama Romance,words on bathroom walls,charlie plummer andy garcía taylor russell thor freudenthal drama romance
Matt Eskandari,Jesse Metcalfe,Bruce Willis,,Action Thriller,hard kill,jesse metcalfe bruce willis  matt eskandari action thriller
,Richard Tanne (director/sceenplay); Austin Abrams,Lili Reinhart,,Drama Romance,chemical hearts,richard tanne (director/sceenplay); austin abrams lili reinhart   drama romance
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Action Thriller Science Fiction,tenet,john david washington robert pattinson elizabeth debicki christopher nolan action thriller science fiction
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,Comedy Science Fiction Adventure,bill & ted face the music,keanu reeves alex winter kristen schaal dean parisot comedy science fiction adventure
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Action Horror Science Fiction,the new mutants,maisie williams anya taylor-joy charlie heaton josh boone action horror science fiction
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,Drama Comedy,the personal history of david copperfield,dev patel aneurin barnard peter capaldi armando iannucci drama comedy
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,Drama Thriller,i'm thinking of ending things,jesse plemons jessie buckley toni collette charlie kaufman drama thriller
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,Animation Science Fiction Comedy Music Family Adventure TV Movie,phineas and ferb the movie: candace against the universe,vincent martella ashley tisdale david errigo jr. bob bowen animation science fiction comedy music family adventure tv movie
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,Drama,all together now,auliʻi cravalho rhenzy feliz judy reyes brett haley drama
M. J. Bassett,Megan Fox,Philip Winchester,,Action Adventure,rogue,megan fox philip winchester  m. j. bassett action adventure
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Thriller,centigrade,genesis rodriguez vincent piazza louis cancelmi brendan walsh thriller
Jeremy Garelick,Skyler Gisondo,Eduardo Franco,Dexter Darden,Comedy,the binge,skyler gisondo eduardo franco dexter darden jeremy garelick comedy
Mark Steven Johnson,Rachael Leigh Cook,Damon Wayans Jr.,,Romance Comedy,"love, guaranteed",rachael leigh cook damon wayans jr.  mark steven johnson romance comedy
John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,Drama,critical thinking,john leguizamo jorge lendeborg jr. angel bismark curiel john leguizamo drama
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,Thriller Horror,the owners,maisie williams sylvester mccoy rita tushingham julius berg thriller horror
Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,Comedy,guest house,pauly shore mike castle aimee teegarden sam macaroni comedy
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,Comedy Horror,the babysitter: killer queen,judah lewis emily alyn lind jenna ortega mcg comedy horror
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,Drama Comedy,unpregnant,haley lu richardson barbie ferreira alex macnicoll rachel lee goldenberg drama comedy
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,Crime Drama Thriller,the devil all the time,tom holland bill skarsgård riley keough antonio campos crime drama thriller
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,Comedy Romance,the broken hearts gallery,geraldine viswanathan dacre montgomery utkarsh ambudkar natalie krinsky comedy romance
Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,Comedy Drama Romance,i met a girl,brenton thwaites lily sullivan joel jackson luke eve comedy drama romance
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,Horror Thriller,rent-a-pal,wil wheaton brian landis folkins kathleen brady jon stevenson horror thriller
Sean McNamara,Melissa Rauch,Max Greenfield,George Lopez,Comedy Action,cats & dogs 3: paws unite!,melissa rauch max greenfield george lopez sean mcnamara comedy action
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,Thriller,the secrets we keep,noomi rapace joel kinnaman chris messina yuval adler thriller
,Janelle Monáe,Eric Lange,Jena Malone,Horror,antebellum,janelle monáe eric lange jena malone  horror
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,Drama Romance,the nest,jude law carrie coon charlie shotwell sean durkin drama romance
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,Drama,blackbird,susan sarandon kate winslet mia wasikowska roger michell drama
William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,Drama,lost girls & love hotels,alexandra daddario takehiro hira carice van houten william olsson drama
Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,Drama Music,killian & the comeback kids,taylor a. purdee john donchak nathan purdee taylor a. purdee drama music
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,Crime Mystery Adventure,enola holmes,millie bobby brown henry cavill sam claflin harry bradbeer crime mystery adventure
Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,Drama History,the trial of the chicago 7,yahya abdul-mateen ii sacha baron cohen danny flaherty aaron sorkin drama history
Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,Crime Drama Comedy,kajillionaire,evan rachel wood richard jenkins debra winger miranda july crime drama comedy
Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,Comedy Drama,the last shift,richard jenkins shane paul mcghie da'vine joy randolph andrew cohn comedy drama
